,船橋,船橋,船橋,船橋,船橋,千葉,千葉,千葉,千葉,千葉,館山,館山,館山,館山,館山,銚子,銚子,銚子,銚子,銚子
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,,,
2019/9,24.7,29.1,21.3,35.6,17.2,25.2,29.0,22.3,34.7,18.4,25.1,29.3,21.6,32.7,16.7,24.6,27.2,22.6,31.5,18.8
2019/10,19.3,23.0,16.2,31.2,10.5,20.1,23.7,17.3,30.9,11.9,20.3,24.3,16.8,30.2,11.1,20.6,22.9,18.3,27.2,12.5
2019/11,12.8,17.3,8.6,23.2,0.8,14.0,17.9,10.4,23.5,2.9,14.1,18.7,9.8,23.8,0.3,14.9,17.8,11.8,23.1,3.7
2019/12,8.1,12.4,4.4,19.1,0.9,9.4,13.2,6.2,19.5,3.5,10.4,15.1,5.8,22.2,1.3,10.7,14.2,7.0,20.6,3.2
2020/1,6.6,10.4,2.8,17.1,-1.1,7.7,11.1,4.5,17.4,1.7,8.3,12.8,4.0,18.6,0.1,8.6,11.8,5.4,17.2,2.2
2020/2,7.7,12.5,3.0,16.8,-4.3,8.9,12.8,4.9,17.8,-1.7,9.3,14.3,3.8,20.8,-3.0,9.0,12.5,5.5,17.5,-0.7
2020/3,10.3,15.0,5.6,22.2,0.1,11.2,15.3,7.2,20.9,1.5,11.7,16.2,6.5,21.6,0.4,11.3,14.5,7.6,20.1,2.0
2020/4,12.6,17.5,7.8,24.2,4.5,13.4,17.7,9.1,23.1,5.3,13.8,18.6,8.5,23.1,3.9,13.2,16.8,9.3,21.2,5.9
2020/5,19.2,23.5,15.7,28.6,9.9,19.7,23.3,16.7,27.7,11.5,19.5,23.6,16.0,27.2,8.4,18.7,21.8,16.4,25.5,12.1
2020/6,22.9,26.9,19.7,31.8,17.0,23.4,27.1,20.4,32.0,17.4,23.2,26.9,20.4,30.6,17.0,21.6,24.4,19.5,29.6,17.7
2020/7,24.0,27.3,21.6,32.0,17.2,24.7,27.8,22.2,31.9,17.7,24.7,27.6,22.5,30.9,19.4,22.2,24.9,20.3,29.0,17.9
2020/8,28.6,33.6,25.1,37.2,21.7,29.0,33.2,26.0,35.7,22.5,28.1,32.8,24.7,35.4,21.3,26.8,30.1,24.4,32.9,20.6
2020/9,24.1,27.7,21.6,33.8,15.1,24.7,27.9,22.4,33.5,16.5,24.7,28.6,22.0,33.6,16.1,24.5,26.9,22.6,33.4,17.5
2020/10,16.9,20.8,13.7,26.5,7.9,18.0,21.4,15.2,26.5,9.3,18.0,22.3,14.4,28.8,6.8,18.7,21.1,16.1,26.2,9.8
2020/11,13.4,17.9,9.1,23.6,4.5,14.7,18.6,11.1,25.1,6.5,15.1,19.8,10.2,25.6,5.6,15.3,18.0,12.1,23.5,7.4
2020/12,6.9,11.9,2.6,16.0,-2.7,8.5,12.4,4.9,16.9,0.3,8.6,13.8,3.5,18.4,-2.0,9.2,12.3,5.9,15.6,0.8
2021/1,4.6,9.6,0.3,16.7,-4.6,6.0,10.1,2.3,17.3,-2.1,6.9,11.6,1.9,17.7,-1.4,7.1,11.0,3.3,17.9,-1.7
2021/2,8.1,13.3,2.5,20.0,-1.8,9.2,13.5,4.7,20.1,1.2,9.4,14.4,3.3,20.7,-2.8,9.2,13.5,4.8,20.0,-0.3
2021/3,12.3,17.1,7.7,22.2,1.7,13.2,17.7,9.3,23.0,3.7,13.1,17.8,8.1,22.3,0.6,13.2,16.2,9.7,20.3,3.5
2021/4,14.6,20.0,9.7,26.5,5.4,15.3,19.9,11.2,27.3,6.8,14.9,19.8,9.8,23.4,3.6,15.1,18.4,11.9,23.7,7.3
2021/5,19.3,23.3,15.5,29.1,9.0,20.0,23.3,16.8,28.5,11.0,19.4,22.9,16.0,28.1,9.2,18.7,21.8,16.2,25.6,9.5
